"SCALE","ENTITY","VARIANT","URL"
"1:10m","Admin 0 – Countries","countries","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries.zip"
"1:10m","Admin 0 – Countries","without boundary lakes","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_lakes.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Argentina POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_arg.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Bangladesh POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_bdg.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Brazil POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_bra.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (China POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_chn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Egypt POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_egy.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (France POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_fra.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Germany POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_deu.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Greece POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_grc.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Indonesia POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_idn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (India POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_ind.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (ISO POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_iso.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Israel POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_isr.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Italy POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_ita.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Japan POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_jpn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (South Korea POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_kor.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Morocco POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_mar.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Nepal POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_nep.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Netherlands POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_nld.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Pakistan POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_pak.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Poland POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_pol.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Portugal POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_prt.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Palestine POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_pse.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Russia POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_rus.zip"
